0.0022 -42.06 -38.99 -42.06 12.81 11.20 12.81
0.0095 -42.41 -38.99 -42.07 12.21 11.20 12.80
0.0166 -42.36 -38.98 -42.07 12.47 11.20 12.79
0.0236 -42.54 -38.98 -42.08 12.58 11.20 12.79
0.0306 -42.40 -38.98 -42.09 12.75 11.20 12.79
0.0376 -41.94 -38.98 -42.09 12.93 11.20 12.79
0.0448 -42.26 -38.98 -42.09 12.96 11.20 12.80
0.0518 -42.76 -38.98 -42.10 12.81 11.20 12.79
0.0588 -42.50 -38.98 -42.11 12.56 11.20 12.79
0.0659 -42.02 -38.98 -42.10 12.59 11.20 12.78
0.0729 -42.41 -38.98 -42.11 12.79 11.20 12.78
0.0798 -42.90 -38.98 -42.12 12.90 11.20 12.79
0.0867 -42.40 -38.98 -42.13 12.57 11.20 12.78
0.0936 -42.24 -38.97 -42.13 12.46 11.20 12.78
0.1005 -42.59 -38.97 -42.13 12.61 11.20 12.78
0.1074 -42.31 -38.97 -42.14 12.81 11.20 12.78
0.1143 -41.97 -38.97 -42.13 12.90 11.20 12.78
0.1212 -42.16 -38.97 -42.13 12.89 11.20 12.78
0.1281 -42.19 -38.96 -42.13 12.49 11.20 12.78
0.1350 -42.57 -38.96 -42.14 12.58 11.20 12.77
0.1419 -42.34 -38.96 -42.14 12.46 11.20 12.76
0.1488 -42.20 -38.96 -42.14 12.98 11.20 12.77
0.1557 -42.75 -38.96 -42.15 12.84 11.20 12.77
0.1626 -42.53 -38.96 -42.16 12.59 11.20 12.77
0.1695 -42.40 -38.96 -42.16 13.01 11.20 12.77
0.1764 -42.14 -38.96 -42.16 12.75 11.20 12.77
0.1833 -42.26 -38.96 -42.16 12.80 11.20 12.77
0.1902 -42.15 -38.96 -42.16 12.78 11.20 12.77
0.1971 -42.76 -38.95 -42.17 12.86 11.20 12.77
0.2040 -42.43 -38.95 -42.17 12.53 11.20 12.77
0.2109 -42.49 -38.95 -42.18 12.84 11.20 12.77
0.2178 -42.44 -38.95 -42.18 12.57 11.20 12.76
0.2247 -42.26 -38.95 -42.18 13.12 11.20 12.77
0.2316 -42.17 -38.95 -42.18 12.66 11.20 12.77
0.2385 -42.14 -38.94 -42.18 12.48 11.20 12.76
0.2454 -42.17 -38.94 -42.18 13.00 11.20 12.77
0.2523 -42.07 -38.94 -42.17 13.00 11.20 12.77
0.2592 -42.25 -38.94 -42.17 12.56 11.20 12.77
0.2661 -42.57 -38.94 -42.18 12.63 11.20 12.76
